"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EA19","HUR","TOT","PC_LF","Q","2009-Q1",9.066667,
"EA19","HUR","TOT","PC_LF","Q","2009-Q2",9.6,
"EA19","HUR","TOT","PC_LF","Q","2009-Q3",9.9,
"EA19","HUR","TOT","PC_LF","Q","2009-Q4",10.13333,
"EA19","HUR","TOT","PC_LF","Q","2010-Q1",10.26667,
"EA19","HUR","TOT","PC_LF","Q","2010-Q2",10.3,
"EA19","HUR","TOT","PC_LF","Q","2010-Q3",10.2,
"EA19","HUR","TOT","PC_LF","Q","2010-Q4",10.23333,
"EA19","HUR","TOT","PC_LF","Q","2011-Q1",10.13333,
"EA19","HUR","TOT","PC_LF","Q","2011-Q2",10.06667,
"EA19","HUR","TOT","PC_LF","Q","2011-Q3",10.33333,
"EA19","HUR","TOT","PC_LF","Q","2011-Q4",10.7,
"EA19","HUR","TOT","PC_LF","Q","2012-Q1",11.03333,
"EA19","HUR","TOT","PC_LF","Q","2012-Q2",11.4,
"EA19","HUR","TOT","PC_LF","Q","2012-Q3",11.6,
"EA19","HUR","TOT","PC_LF","Q","2012-Q4",11.96667,
"EA19","HUR","TOT","PC_LF","Q","2013-Q1",12.2,
"EA19","HUR","TOT","PC_LF","Q","2013-Q2",12.2,
"EA19","HUR","TOT","PC_LF","Q","2013-Q3",12.1,
"EA19","HUR","TOT","PC_LF","Q","2013-Q4",12.06667,
"EA19","HUR","TOT","PC_LF","Q","2014-Q1",12.03333,
"EA19","HUR","TOT","PC_LF","Q","2014-Q2",11.73333,
"EA19","HUR","TOT","PC_LF","Q","2014-Q3",11.6,
"EA19","HUR","TOT","PC_LF","Q","2014-Q4",11.56667,
"EA19","HUR","TOT","PC_LF","Q","2015-Q1",11.36667,
"EA19","HUR","TOT","PC_LF","Q","2015-Q2",11.13333,
"EA19","HUR","TOT","PC_LF","Q","2015-Q3",10.73333,
"EA19","HUR","TOT","PC_LF","Q","2015-Q4",10.63333,
"EA19","HUR","TOT","PC_LF","Q","2016-Q1",10.43333,
"EA19","HUR","TOT","PC_LF","Q","2016-Q2",10.23333,
"EA19","HUR","TOT","PC_LF","Q","2016-Q3",9.966666,
"EA19","HUR","TOT","PC_LF","Q","2016-Q4",9.833333,
"EA19","HUR","TOT","PC_LF","Q","2017-Q1",9.6,
"EA19","HUR","TOT","PC_LF","Q","2017-Q2",9.233334,
"EA19","HUR","TOT","PC_LF","Q","2017-Q3",9,
"EA19","HUR","TOT","PC_LF","Q","2017-Q4",8.733334,
"EA19","HUR","TOT","PC_LF","Q","2018-Q1",8.6,
"EA19","HUR","TOT","PC_LF","Q","2018-Q2",8.3,
"EA19","HUR","TOT","PC_LF","Q","2018-Q3",8.033334,
"EA19","HUR","TOT","PC_LF","Q","2018-Q4",7.933333,
"EA19","HUR","TOT","PC_LF","Q","2019-Q1",7.8,
"EA19","HUR","TOT","PC_LF","Q","2019-Q2",7.6,
"EA19","HUR","TOT","PC_LF","Q","2019-Q3",7.5,
"EA19","HUR","TOT","PC_LF","Q","2019-Q4",7.466667,
"EA19","HUR","TOT","PC_LF","Q","2020-Q1",7.366667,
"EA19","HUR","TOT","PC_LF","Q","2020-Q2",7.7,
"EA19","HUR","TOT","PC_LF","Q","2020-Q3",8.566667,
"EA19","HUR","TOT","PC_LF","Q","2020-Q4",8.266666,
"EA19","HUR","TOT","PC_LF","Q","2021-Q1",8.2,
"EA19","HUR","TOT","PC_LF","Q","2021-Q2",8,
"EA19","HUR","TOT","PC_LF","Q","2021-Q3",7.533333,
"EA19","HUR","TOT","PC_LF","Q","2021-Q4",7.133333,
"EA19","HUR","TOT","PC_LF","Q","2022-Q1",6.833333,
"EA19","HUR","TOT","PC_LF","Q","2022-Q2",6.7,
"EA19","HUR","TOT","PC_LF","Q","2022-Q3",6.7,
"EA19","HUR","TOT","PC_LF","Q","2022-Q4",6.666667,
